Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,Direction
sgrS,b4577,77367,77593,small regulatory RNA SgrS,+
dpiB,b0619,652235,653893,DpiB-<i>N</i>-phospho-L-histidine // sensor histidine kinase DpiB,+
frdA,b4154,4380510,4382318,fumarate reductase flavoprotein subunit,-
rlmH,b0636,668248,668715,23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase,-
yebG,b1848,1930457,1930747,DNA damage-inducible protein YebG,-
yqeB,b2875,3012614,3014239,XdhC-CoxI family protein YqeB,-
dnaN,b3701,3881221,3882321,&beta; sliding clamp,-
dsdA,b2366,2479202,2480530,D-serine ammonia-lyase,+
rarD,b3819,4003288,4004178,putative transporter RarD,-
garP,b3127,3273573,3274907,galactarate/D-glucarate transporter GarP,-
fumE,b2929,3074686,3075195,fumarase E,-
fimC,b4316,4544304,4545029,type 1 fimbriae periplasmic chaperone,+
barA,b2786,2915057,2917813,BarA-<i>N</i>-phospho-L-histidine-861 // BarA-<i>N</i>-phospho-L-histidine-302 // BarA-phospho-L-aspartate-718 // sensor histidine kinase BarA,+
yohP,b4679,2228982,2229065,uncharacterized membrane protein YohP,+
pdeK,b3529,3683630,3685618,c-di-GMP phosphodiesterase PdeK,-
ydeI,b1536,1624105,1624497,BOF family protein YdeI,-
ymgL,b4739,1212540,1212650,protein YmgL,-
ubiX,b2311,2428057,2428626,flavin prenyltransferase,-
lgt,b2828,2965162,2966037,phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,-
azuR,b4836,1987890,1987920,small regulatory RNA AzuR,-
ygjH,b3074,3220915,3221247,putative tRNA-binding protein YgjH,-
sroE,b4761,2640595,2640686,small RNA SroE,-
gspH,b3329,3461468,3461977,type II secretion system protein GspH,+
torD,b0998,1061799,1062398,trimethylamine-N-oxide reductase-specific chaperone,+
ispZ,b4809,194784,194844,small regulatory RNA IspZ,+
kdpE,b0694,721056,721733,KdpE-Phosphorylated // DNA-binding transcriptional activator KdpE,-
ycfZ,b1121,1180479,1181267,putative inner membrane protein YcfZ,-
adhP,b1478,1552828,1553838,ethanol dehydrogenase / alcohol dehydrogenase,-
rsmG,b3740,3923057,3923680,16S rRNA m<sup>7</sup>G527 methyltransferase,-
yjeH,b4141,4369156,4370412,L-methionine/branched chain amino acid exporter,-
yciK,b1271,1328354,1329112,putative oxidoreductase,-
insJ,b3557,3720680,3721201,insertion element IS150 protein InsA,+
ubiF,b0662,695101,696276,3-demethoxyubiquinol 3-hydroxylase,+
ybaT,b0486,512576,513868,putative transporter YbaT,+
dctR,b3507,3654683,3655213,putative DNA-binding transcriptional regulator DctR,+
manX,b1817,1902048,1903019,mannose-specific PTS enzyme IIAB component,+
creB,b4398,4636007,4636696,DNA-binding transcriptional regulator CreB-phosphorylated // DNA-binding transcriptional regulator CreB,+
ybhC,b0772,805998,807281,outer membrane lipoprotein YbhC,-
cyaA,b3806,3991153,3993699,adenylate cyclase,+
pgpC,b2560,2697915,2698550,phosphatidylglycerophosphatase C,-
ybaA,b0456,476672,477025,DUF1428 domain-containing protein YbaA,+
gspE,b3326,3458339,3459820,type II secretion system protein GspE,+
ybeR,b0645,676711,677418,DUF1266 domain-containing protein YbeR,+
rdlB,b4422,1269858,1269923,putative antisense regulatory RNA RdlB,+
rcsC,b2218,2317027,2319876,RcsC-phospho-L-aspartate // RcsC-<i>N</i>-phospho-L-histidine // histidine kinase RcsC,-
pgl,b0767,798586,799581,6-phosphogluconolactonase,+
nuoC,b2286,2402055,2403845,NADH:quinone oxidoreductase subunit CD,-
tusB,b3343,3474678,3474965,sulfurtransferase complex subunit TusB,-
yfaV,b2246,2358863,2360152,putative transporter YfaV,-
fepE,b0587,618254,619387,polysaccharide co-polymerase family protein FepE,+
yhhM,b3467,3605251,3605610,DUF2500 domain-containing protein YhhM,-
holD,b4372,4607803,4608216,DNA polymerase III subunit &psi;,+
tdcG,b4471,3258285,3259649,L-serine deaminase III,-
sgbU,b3582,3749232,3750092,putative L-xylulose 5-phosphate 3-epimerase,+
gspA,b3323,3453929,3455398,Type II secretion system protein GspA,-
phoU,b3724,3906853,3907578,negative regulator of the <i>pho</i> regulon,-
yfcQ,b2334,2450587,2451075,putative fimbrial protein YfcQ,-
pyrS,b2380,2498671,2500368,PyrS-<i>N</i>-phospho-L-histidine // sensor histidine kinase PyrS,+
prkB,b3355,3484490,3485359,putative phosphoribulokinase,+
ybcL,b0545,570893,571444,DLP12 prophage; periplasmic protein YbcL,+
mazE,b2783,2911091,2911339,antitoxin of the MazF-MazE toxin-antitoxin system MazE,-
yjgW,b4274,4499599,4499934,,+
ymiB,b4672,1346796,1346900,putative protein YmiB,+
plsB,b4041,4254043,4256466,glycerol-3-phosphate 1-<i>O</i>-acyltransferase,-
agrA,b4712,3648063,3648144,small RNA AgrA,+
syd,b2793,2924735,2925280,SecY-interacting protein,-
sraA,,458728,458784,small RNA SraA,-
ytfF,b4210,4432091,4433056,inner membrane protein YtfF,-
aslB,b3800,3982958,3984193,putative anaerobic sulfatase maturation enzyme AslB,+
rbsZ,b4804,3937045,3937278,small regulatory RNA RbsZ,+
baeS,b2078,2162876,2164279,BaeS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BaeS,+
ybhK,b0780,815739,816647,putative transferase YbhK,-
nrfC,b4072,4289808,4290479,putative menaquinol-cytochrome <i>c</i> reductase 4Fe-4S subunit,+
tusE,b0969,1030339,1030668,sulfur transfer protein TusE,-
mdtJ,b1600,1673136,1673501,multidrug/spermidine efflux pump membrane subunit MdtJ,-
yeiS,b2145,2233600,2233839,DUF2542 domain-containing protein YeiS,+
tff,b4414,189712,189847,putative small RNA T44,+
insD3,b1996,2068952,2069857,CP4-44 prophage; IS2 insertion element protein InsB,-
ubiI,b2906,3051115,3052317,2-octaprenylphenol 6-hydroxylase,-
yqgA,b2966,3109553,3110260,DUF554 domain-containing protein YqgA,+
tldD,b3244,3390583,3392028,metalloprotease subunit TldD,-
lacI,b0345,366428,367510,DNA-binding transcriptional repressor LacI,-
phoQ,b1129,1188316,1189776,sensor histidine kinase PhoQ,-
yhiJ,b3488,3630968,3632590,DUF4049 domain-containing protein YhiJ,-
rdcA,b4109,4327135,4329363,regulator of diguanylate cyclase RdcA,+
clsC,b1046,1106355,1107776,cardiolipin synthase C,+
yfgI,b2506,2630326,2630865,nalidixic acid resistance protein YfgI,+
lysO,b0874,913958,914857,L-lysine/thialysine exporter,-
ybiI,b0803,838190,838456,zinc finger domain-containing protein YbiI,-
ftsO,b4810,92485,92658,small regulatory RNA FtsO,+
dhaR,b1201,1251066,1252985,DNA-binding transcriptional dual regulator DhaR,+
grcA,b2579,2716066,2716449,stress-induced alternate pyruvate formate-lyase subunit,-
gnd,b2029,2099862,2101268,"6-phosphogluconate dehydrogenase, decarboxylating",-
trmL,b3606,3781215,3781688,tRNA (cytidine/uridine-2'-<i>O</i>)-ribose methyltransferase,+
frlA,b3370,3499910,3501247,fructoselysine/psicoselysine transporter,+
ygbM,b2739,2864236,2865012,putative 2-oxo-tetronate isomerase YgbM,+
atoE,b2223,2324756,2326078,short chain fatty acid transporter,+
priC,b0467,490285,490812,primosomal replication protein N'',-
sapF,b1290,1351828,1352634,putrescine ABC exporter ATP binding protein SapF,-
evgS,b2370,2484374,2487967,EvgS-<i>N</i>-phospho-L-histidine-721 // EvgS-phospho-L-aspartate // EvgS-<i>N</i>-phospho-L-histidine-1137 // sensor histidine kinase EvgS,+
lldP,b3603,3777399,3779054,lactate/glycolate:H<sup>+</sup> symporter LldP,+
mqsA,b3021,3167851,3168246,antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA,-
yadK,b0136,151003,151599,putative fimbrial protein YadK,-
yibL,b3602,3776665,3777027,DUF2810 domain-containing protein YibL,+
sgrT,b4662,77388,77519,PtsG glucose transporter inhibitor,+
valZ,b0746,781068,781143,tRNA-Val(UAC),+
cpxP,b4484,4105820,4106320,periplasmic protein CpxP,+
yojO,b4604,2303606,2303770,uncharacterized protein YojO,+
pgpA,b0418,436589,437107,phosphatidylglycerophosphatase A,+
C0293,b4806,1196711,1196782,e14 prophage; small regulatory RNA C0293,+
arnD,b2256,2370018,2370908,putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,+
sroA,b4762,75516,75608,small RNA SroA,-
gspL,b3333,3463922,3465085,type II secretion system protein GspL,+
mpaA,b1326,1389870,1390598,murein tripeptide amidase A,-
sfmC,b0531,558974,559666,putative fimbrial chaperone SfmC,+
rdlC,b4424,1270393,1270460,putative antisense regulatory RNA RdlC,+
phoB,b0399,417142,417831,DNA-binding transcriptional dual regulator PhoB-phosphorylated // DNA-binding transcriptional dual regulator PhoB,+
ykgJ,b0288,303853,304182,putative metal-chelating domain-containing protein YkgJ,-
narZ,b1468,1538850,1542590,nitrate reductase Z subunit &alpha;,-
tsaD,b3064,3209530,3210543,"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaD subunit",-
nanX,b4279,4504058,4505275,sialic acid transporter NanX,+
yjaZ,b3989,4189786,4190325,protein YjaZ,+
insL2,b0582,608065,609177,IS186/IS421 transposase,+
menH,b2263,2376834,2377592,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase",-
gsiC,b0831,870967,871887,glutathione ABC transporter membrane subunit GsiC,+
fliZ,b1921,2000473,2001024,DNA-binding transcriptional regulator FliZ,-
fucK,b2803,2937468,2938886,L-fuculokinase,+
dpiA,b0620,653862,654542,DNA-binding transcriptional dual regulator DpiA-phosphorylated // DNA-binding transcriptional dual regulator DpiA,+
yihM,b3873,4061165,4062145,putative TIM barrel domain-containing protein YihM,+
tar,b1886,1971030,1972691,methyl-accepting chemotaxis protein Tar,-
opgB,b4359,4597150,4599441,phosphoglycerol transferase II // phosphoglycerol transferase I,-
pdeD,b1815,1898427,1900025,putative c-di-GMP phosphodiesterase PdeD,+
yidE,b3685,3864612,3866273,putative transport protein YidE,-
yibG,b3596,3768177,3768638,tetratricopeptide-like domain-containing protein YibG,+
malH,b4807,4242531,4242633,small regulatory RNA MalH,-
qseC,b3026,3170484,3171833,QseC-<i>N</i>-phospho-L-histidine // sensor histidine kinase QseC,+
zwf,b1852,1934839,1936314,NADP+-dependent glucose-6-phosphate dehydrogenase,-
hyaE,b0976,1036354,1036752,putative HyaA chaperone,+
cca,b3056,3201891,3203129,fused CCA tRNA nucleotidyltransferase/phosphohydrolase,+
yhjV,b3539,3700563,3701834,putative transporter YhjV,+
aaeA,b3241,3388194,3389126,aromatic carboxylic acid efflux pump membrane fusion protein,-
wbbJ,b2033,2104494,2105084,putative lipopolysaccharide biosynthesis O-acetyl transferase WbbJ,-
yihS,b3880,4070515,4071756,sulfoquinovose isomerase,-
dnaC,b4361,4600238,4600975,DNA replication protein DnaC,-
csdA,b2810,2943337,2944542,cysteine sulfinate desulfinase,+
gspI,b3330,3461974,3462351,type II secretion system protein GspI,+
rstB,b1609,1682882,1684183,sensory histidine kinase RstB - phosphorylated // sensory histidine kinase RstB,+
dgcC,b0385,403703,404818,diguanylate cyclase DgcC,+
ydeR,b1503,1587793,1588296,putative fimbrial protein YdeR,-
tdcA,b3118,3266127,3267065,DNA-binding transcriptional activator TdcA,-
yafE,b0210,231926,232549,putative S-adenosylmethionine-dependent methyltransferase,+
serX,b1032,1097565,1097652,tRNA-Ser(GGA),-
pphA,b1838,1922313,1922969,phosphoprotein phosphatase 1,-
b1364,b1364,1425178,1425459,,+
yjiS,b4341,4571751,4571915,DUF1127 domain-containing protein YjiS,+
clsA,b1249,1307185,1308645,cardiolipin synthase A,-
agrB,b4713,3648294,3648375,small regulatory RNA AgrB,+
ydhT,b1669,1748747,1749559,uncharacterized protein YdhT,-
ryjB,b4624,4527977,4528066,small RNA RyjB,+
yfbS,b2292,2409520,2411352,putative transporter YfbS,-
prlC,b3498,3643140,3645182,oligopeptidase A,-
dsbC,b2893,3038112,3038822,protein disulfide isomerase DsbC,-
sokC,b4413,16952,17010,small regulatory RNA antitoxin SokC,+
btsS,b2126,2212959,2214644,BtsS-<i>N</i>-phospho-L-histidine // high-affinity pyruvate receptor,-
ytgA,b4800,4486105,4486155,protein YtgA,+
dmsC,b0896,944033,944896,dimethyl sulfoxide reductase subunit C,+
rlmG,b3084,3234739,3235875,23S rRNA m<sup>2</sup>G1835 methyltransferase,-
nupX,b2161,2252895,2254145,putative nucleoside transporter,-
yoaG,b1796,1879403,1879585,DUF1869 domain-containing protein YoaG,-
ubiV,b3159,3302489,3303367,ubiquinone biosynthesis protein UbiV,+
insAB3,,290649,291346,InsAB' transposase,-
maeB,b2463,2576098,2578377,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP<sup>+</sup>),-
yfeH,b2410,2526946,2527944,putative solute:Na<sup>+</sup> symporter,+
rnk,b0610,643557,643967,nucleoside diphosphate kinase regulator,-
bglG,b3723,3905731,3906567,transcriptional antiterminator BglG,-
yjgN,b4257,4479730,4480926,inner membrane protein YjgN,+
envZ,b3404,3534516,3535868,sensor histidine kinase EnvZ,-
plsC,b3018,3162744,3163481,1-acylglycerol-3-phosphate <i>O</i>-acyltransferase PlsC,-
curA,b1449,1519027,1520064,NADPH-dependent curcumin/dihydrocurcumin reductase,+
gspC,b3324,3455578,3456393,type II secretion system protein GspC,+
yciG,b1259,1315856,1316035,stress-induced bacterial acidophilic repeat motifs-containing protein YciG,-
aspX,b4825,4366839,4366951,small regulatory RNA AspX,-
pyrR,b2381,2500383,2501117,DNA-binding transcriptional dual regulator PyrR-phosphorylated // DNA-binding transcriptional activator PyrR,+
dcuS,b4125,4350031,4351662,DcuS-<i>N</i>-phospho-L-histidine // sensor histidine kinase DcuS,-
fumD,b1675,1754932,1755141,fumarase D,-
rlmN,b2517,2643129,2644283,23S rRNA m<sup>2</sup>A2503 methyltransferase/tRNA m<sup>2</sup>A37 methyltransferase,-
yihN,b3874,4062247,4063512,putative transporter YihN,+
yfdC,b2347,2465301,2466233,inner membrane protein YfdC,+
aspC,b0928,984519,985709,aspartate aminotransferase,-
rob,b4396,4634441,4635310,DNA-binding transcriptional dual regulator Rob,-
malS,b3571,3737497,3739527,alpha-amylase,+
epd,b2927,3072672,3073691,D-erythrose-4-phosphate dehydrogenase,-
yohK,b2142,2231019,2231714,putative 3-hydroxypropanoate export protein YohK,+
bfd,b3337,3466797,3466991,bacterioferritin-associated ferredoxin,-
yehD,b2111,2191680,2192222,putative fimbrial protein YehD,-
baeR,b2079,2164276,2164998,DNA-binding transcriptional activator BaeR-phosphorylated // DNA-binding transcriptional activator BaeR,+
yigI,b3820,4004230,4004697,acyl-CoA thioesterase YigI,-
lysW,b0745,780843,780918,tRNA-Lys(UUU),+
ygiN,b3029,3173142,3173456,putative quinol monooxygenase YgiN,+
yzgL,b3427,3563724,3564005,putative uncharacterized protein YzgL,-
psd,b4160,4389392,4390360,"phosphatidylserine decarboxylase proenzyme // phosphatidylserine decarboxylase, &beta; chain // phosphatidylserine decarboxylase, &alpha; chain",-
ralA,b4714,1413556,1413734,Rac prophage; small regulatory RNA antitoxin RalA,+
ycgN,b1181,1228815,1229276,putative metal-chelating domain-containing protein YcgN,+
tsuA,b2013,2084467,2085525,thiosulfate transporter,-
lon,b0439,458888,461242,Lon protease,+
yfcS,b2336,2451584,2452336,putative fimbrial chaperone YfcS,-
sokB,b4429,1492119,1492175,putative small regulatory RNA antitoxin SokB,+
phoR,b0400,417889,419184,sensor histidine kinase PhoR,+
yfiS,b4783,2725925,2725987,protein YfiS,+
ybiY,b0824,862612,863511,putative pyruvate formate-lyase activating enzyme YbiY,-
selU,b0503,530132,531226,tRNA 2-selenouridine synthase,-
gdx,b4148,4376875,4377192,guanidinium exporter,+
rhsC,b0700,729583,733776,rhs element protein RhsC,+
thiD,b2103,2183716,2184516,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,-
ispG,b2515,2640686,2641804,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),-
insA6,b3444,3583483,3583758,IS1 protein InsA,+
maeA,b1479,1553972,1555669,malate dehydrogenase (oxaloacetate-decarboxylating),-
yjiJ,b4332,4561497,4562675,putative transporter YjiJ,-
glnK,b0450,472598,472936,uridylyl-[protein PII-2] // nitrogen regulatory protein PII-2,+
fruB,b2169,2262365,2263495,FruB - his299 phosphorylated // fructose-specific PTS multiphosphoryl transfer protein FruB,-
yhhW,b3439,3578950,3579645,"quercetin 2,3-dioxygenase",-
rstA,b1608,1682159,1682878,DNA-binding transcriptional regulator RstA-phosphorylated // DNA-binding transcriptional regulator RstA,+
pgpB,b1278,1339330,1340094,phosphatidylglycerophosphatase B,+
elfC,b0940,999216,1001816,putative fimbrial usher protein ElfC,+
ycfT,b1115,1174092,1175165,inner membrane protein YcfT,-
yghW,b2998,3146450,3146737,DUF2623 domain-containing protein YghW,-
chiZ,b4808,708236,708333,small regulatory RNA ChiZ,+
basS,b4112,4332181,4333272,BasS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BasS,-
nikE,b3480,3617776,3618582,Ni(2+) ABC transporter ATP binding subunit NikE,+
fruK,b2168,2261427,2262365,1-phosphofructokinase,-
trmD,b2607,2744572,2745339,tRNA m<sup>1</sup>G37 methyltransferase,-
uacT,b2888,3031367,3032815,urate:H<sup>+</sup> symporter,+
slyX,b3348,3477640,3477858,protein SlyX,+
astD,b1746,1828256,1829734,aldehyde dehydrogenase,-
polB,b0060,63429,65780,DNA polymerase II,-
kbaZ,b3132,3278914,3280194,"putative tagatose-1,6-bisphosphate aldolase 1 chaperone",+
guaD,b2883,3025766,3027085,guanine deaminase,+
yhfT,b3377,3506032,3507336,uncharacterized protein YhfT,-
relA,b2784,2911417,2913651,GDP/GTP pyrophosphokinase,-
ycbU,b0942,1002889,1003431,putative fimbrial protein YcbU,+
creC,b4399,4636696,4638120,sensory histidine kinase CreC,+
creA,b4397,4635521,4635994,PF05981 family protein CreA,+
glyY,b4165,4392583,4392658,tRNA-Gly(GCC),+
ychH,b1205,1258791,1259069,stress-induced protein,+
sroG,,3184570,3184718,,-
ypdJ,b4545,2476094,2476234,CPS-53 (KpLE1) prophage; putative uncharacterized protein YpdJ,+
gnsA,b4517,1052067,1052240,putative phosphatidylethanolamine synthesis regulator GnsA,+
ybgQ,b0718,749722,752169,putative fimbrial usher protein YbgQ,-
ybjJ,b0845,886131,887339,inner membrane protein YbjJ,-
ycaL,b0909,960264,961028,periplasmic protease YcaL,+
ecpB,b0292,309358,310026,putative fimbrial chaperone EcpB,-
rdlA,b4420,1269323,1269389,putative antisense regulatory RNA RdlA,+
cusS,b0570,593328,594770,CusS-<i>N</i>-phospho-L-histidine // sensor histidine kinase CusS,-
yadX,b4765,175048,175095,protein YadX,+
pflD,b3951,4143995,4146292,putative formate acetyltransferase 2,+
truC,b2791,2923002,2923784,tRNA pseudouridine<sup>65</sup> synthase,-
mdtB,b2075,2155263,2158385,multidrug efflux pump RND permease subunit MdtB,+
ydhS,b1668,1747131,1748735,FAD/NAD(P) binding domain-containing protein YdhS,+
thiS,b4407,4192637,4192837,sulfur carrier protein ThiS,-
ubiK,b3042,3184840,3185130,ubiquinone biosynthesis accessory factor UbiK,+
insB5,b1893,1978518,1979021,IS1 protein InsB,-
ggt,b3447,3585081,3586823,"glutathione hydrolase, small subunit // glutathione hydrolase, large subunit // glutathione hydrolase proenzyme",-
gspJ,b3331,3462344,3462931,type II secretion system protein GspJ,+
yheO,b3346,3475718,3476440,DNA-binding transcriptional regulator YheO,-
ydjI,b1773,1856933,1857769,L-<i>glycero</i>-L-galacto-octuluronate-1-phosphate aldolase,-
yhbS,b3156,3300255,3300758,putative <i>N</i>-acetyltransferase YhbS,-
glrR,b2554,2687469,2688803,DNA-binding transcriptional activator GlrR-phosphorylated // DNA-binding transcriptional activator GlrR,-
cdsA,b0175,195677,196534,CDP-diglyceride synthetase,+
yaiI,b0387,405764,406222,DUF188 domain-containing protein YaiI,+
ybbY,b0513,540565,541866,putative purine transporter,+
yebO,b1825,1908261,1908548,uncharacterized protein YebO,-
sdhX,b4764,765050,765150,small regulatory RNA SdhX,+
kdpD,b0695,721730,724414,sensor histidine kinase KdpD,-
nuoM,b2277,2391512,2393041,NADH:quinone oxidoreductase subunit M,-
rluE,b1135,1194298,1194951,23S rRNA pseudouridine<sup>2457</sup> synthase,-
ydfJ,b1543,1631002,1632285,putative transporter YdfJ,-
yeeZ,b2016,2088304,2089128,putative epimerase YeeZ,-
paaZ,b1387,1451597,1453642,"fused 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase and oxepin-CoA hydrolase",-
uvrD,b3813,3997983,4000145,DNA helicase II,+
gcvP,b2903,3046168,3049041,glycine decarboxylase,-
fbp,b4232,4454611,4455609,"fructose-1,6-bisphosphatase 1",-
gspG,b3328,3461023,3461460,type II secretion system protein GspG,+
ravA,b3746,3929597,3931093,regulatory ATPase RavA,-
yadC,b0135,149715,150953,fimbrial tip-adhesin YadC,-
rcsD,b2216,2313488,2316160,RcsD-<i>N</i>-phospho-L-histidine // RcsD phosphotransferase,+
nlpC,b1708,1792267,1792731,NlpC/P60 family lipoprotein NlpC,-
aspT,b3760,3946872,3946948,tRNA-Asp(GUC),+
ygiW,b3024,3169284,3169676,BOF family protein YgiW,-
ygjR,b3087,3237311,3238297,putative oxidoreductase YgjR,+
plsY,b3059,3204694,3205311,putative glycerol-3-phosphate acyltransferase,+
yciY,b4595,1308788,1308961,uncharacterized protein YciY,+
yegH,b2063,2137902,2139485,inner membrane protein YegH,+
aat,b0885,926728,927432,leucyl/phenylalanyl-tRNA&mdash;protein transferase,-
ppiB,b0525,553943,554437,peptidyl-prolyl <i>cis-trans</i> isomerase B,-
adiA,b4117,4338254,4340521,"arginine decarboxylase, degradative",-
glrK,b2556,2689671,2691098,GlrK-<i>N</i>-phospho-L-histidine // histidine kinase GlrK,-
ymgM,b4740,1240260,1240463,protein YmgM,+
narW,b1466,1536614,1537309,"NarW, putative private chaperone for NarZ nitrate reductase subunit",-
rsmJ,b3497,3642380,3643132,16S rRNA m<sup>2</sup>G1516 methyltransferase,-
ybbW,b0511,537633,539087,putative allantoin transporter,+
thiF,b3992,4192821,4193576,sulfur carrier protein ThiS adenylyltransferase,-
ubiD,b3843,4024988,4026481,3-octaprenyl-4-hydroxybenzoate decarboxylase,+
insF3,b0541,567138,568004,DLP12 prophage; IS3 element protein InsF,+
glpX,b3925,4114569,4115579,"fructose-1,6-bisphosphatase 2",-
ykgG,b0308,323758,324453,DUF162 domain-containing lactate utilization protein YkgG,+
aer,b3072,3217556,3219076,aerotaxis receptor,-
srlD,b2705,2827737,2828516,sorbitol-6-phosphate 2-dehydrogenase,+
yggP,b4465,3076179,3077456,putative zinc-binding dehydrogenase YggP,-
atoS,b2219,2320043,2321869,sensor histidine kinase AtoS,+
plsX,b1090,1147621,1148691,putative phosphate acyltransferase,+
ypeD,b4819,2512687,2512776,protein YpeD,-
gspD,b3325,3456377,3458329,type II secretion system protein GspD,+
ynaJ,b1332,1397365,1397622,DUF2534 domain-containing protein YnaJ,+
asr,b1597,1671376,1671684,periplasmic chaperone Asr,+
rcsB,b2217,2316177,2316827,RcsB-acetylated // DNA-binding transcriptional dual regulator RcsB-phosphorylated // DNA-binding transcriptional activator RcsB,+
hyaB,b0973,1033254,1035047,hydrogenase 1 large subunit,+
rlmE,b3179,3327035,3327664,23S rRNA 2'-<i>O</i>-ribose U2552 methyltransferase,-
yrbG,b3196,3340275,3341252,putative transport protein YrbG,+
mokB,b1420,1491962,1492129,putative regulatory protein MokB,-
psiE,b4030,4240325,4240735,putative phosphate starvation-inducible protein PsiE,+
parC,b3019,3163715,3165973,DNA topoisomerase IV subunit A,-
ybhA,b0766,797613,798431,"pyridoxal phosphate/fructose-1,6-bisphosphate phosphatase",-
leuE,b1798,1880121,1880759,leucine exporter,-
xylF,b3566,3731131,3732123,xylose ABC transporter periplasmic binding protein,+
cedA,b1731,1813421,1813663,cell division modulator,-
arcB,b3210,3350689,3353025,ArcB-<i>N</i>-phospho-L-histidine-292 // ArcB-phospho-L-aspartate-576 // ArcB-<i>N</i>-phospho-L-histidine-717 // sensor histidine kinase ArcB,-
putA,b1014,1074920,1078882,fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA,-
pspE,b1308,1369689,1370003,thiosulfate sulfurtransferase PspE,+
alaX,b2396,2518041,2518116,tRNA-Ala(GGC),-
rsxD,b1630,1709142,1710200,SoxR [2Fe-2S] reducing system protein RsxD,+
G0-10705,,4058171,4058242,,+
ygiM,b3055,3201207,3201827,putative signal transduction protein (SH3 domain),+
pssA,b2585,2722727,2724082,phosphatidylserine synthase,+
naRNA2,,4326205,4326281,naRNA2,-
gspM,b3334,3465082,3465543,type II secretion system protein GspM,+
hflC,b4175,4403300,4404304,regulator of FtsH protease,+
ydeM,b1497,1579633,1580790,putative anaerobic sulfatase maturation enzyme YdeM,-
inaA,b2237,2348822,2349472,putative lipopolysaccharide kinase InaA,-
hprS,b1968,2036794,2038152,sensor histidine kinase HprS,-
ykgS,b4688,290510,290638,CP4-6 prophage; protein YkgS,+
pflA,b0902,950340,951080,pyruvate formate-lyase activating enzyme,-
tgt,b0406,426137,427264,tRNA-guanine transglycosylase,+
sdhB,b0724,757689,758405,"succinate:quinone oxidoreductase, iron-sulfur cluster binding protein",+
yjeM,b4156,4383839,4385341,putative transporter YjeM,+
thiM,b2104,2184513,2185301,hydroxyethylthiazole kinase,-
menI,b1686,1765222,1765632,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",-
insB1,b0021,19811,20314,IS1 protein InsB,-
yedL,b1932,2010600,2011079,putative acetyltransferase YedL,+
tqsA,b1601,1673913,1674947,autoinducer 2 exporter,+
wzzE,b3785,3969031,3970077,enterobacterial common antigen polysaccharide co-polymerase,+
pfkB,b1723,1806370,1807299,6-phosphofructokinase 2,+
ygbJ,b2736,2861430,2862338,putative L-threonate dehydrogenase,+
atpF,b3736,3920418,3920888,ATP synthase F<sub>o</sub> complex subunit b,-
basR,b4113,4333282,4333950,DNA-binding transcriptional dual regulator BasR-phosphorylated // DNA-binding transcriptional dual regulator BasR,-
pgsA,b1912,1992269,1992817,CDP-diacylglycerol&mdash;glycerol-3-phosphate 3-phosphatidyltransferase,-
pmrR,b4703,4332116,4332205,small regulatory membrane protein PmrR,+
yhgE,b3402,3530715,3532439,putative transport protein YhgE,-
ybdJ,b0580,605951,606199,DUF1158 domain-containing protein YbdJ,-
yceO,b1058,1119307,1119447,DUF2770 domain-containing protein YceO,-
phoP,b1130,1189776,1190447,DNA-binding transcriptional dual regulator PhoP-phosphorylated // DNA-binding transcriptional dual regulator PhoP,-
hyfR,b2491,2611900,2613912,DNA-binding transcriptional activator HyfR,+
tapT,b2583,2719223,2719921,tRNA 3-amino-3-carboxypropyltransferase,+
pitA,b3493,3637642,3639141,metal phosphate:H<sup>+</sup> symporter PitA,+
ydjY,b1751,1834116,1834793,4Fe-4S ferredoxin-type domain-containing protein YdjY,+
ansA,b1767,1850860,1851876,L-asparaginase 1,+
rpoN,b3202,3344717,3346150,RNA polymerase sigma factor RpoN,+
uxaA,b3091,3241827,3243314,D-altronate dehydratase,-
yicI,b3656,3832219,3834537,&alpha;-D-xyloside xylohydrolase,-
opgG,b1048,1109335,1110870,osmoregulated periplasmic glucans biosynthesis protein G,+
yggR,b2950,3094100,3095080,Type II/IV secretion system family protein,-
grxC,b3610,3784191,3784442,oxidized glutaredoxin 3 // reduced glutaredoxin 3,-
fecR,b4292,4516764,4517717,ferric citrate regulator FecR,-
oxc,b2373,2490256,2491950,oxalyl-CoA decarboxylase,-
