Gene_id,Genename,log2FoldChange(CIPvsH2O),significant(CIPvsH2O),CIP_avg_fpkm,H2O_avg_fpkm,biological_process,biological_process_description,cellular_component,cellular_component_description,molecular_function,molecular_function_description,KEGG AnnotInfo,KEGG url,Description,FPKM_Difference,Rank_FPKM,Rank_Log2FC,Effect_Size
b0755,gpmA,-1.2196,DOWN,938.4475606464605,1407.6855866052,GO:0018130//GO:0050794//GO:0051171//GO:2000112//GO:0016070//GO:0010467//GO:0060255//GO:1903506//GO:0065009//GO:0006139//GO:1901576//GO:0008150//GO:0097659//GO:0006807//GO:0006351//GO:0019222//GO:0006725//GO:0031326//GO:0043170//GO:0006355//GO:0044260//GO:0032774//GO:0046483//GO:0044237//GO:0050789//GO:0010556//GO:0034645//GO:0090304//GO:0034654//GO:2001141//GO:0051252//GO:0044271//GO:0019219//GO:0009987//GO:0010468//GO:0009059//GO:0008152//GO:0009889//GO:0019438//GO:0080090//GO:0034641//GO:0051090//GO:0044249//GO:1901362//GO:0065007//GO:1901360//GO:0009058//GO:0071704//GO:0044238//GO:0031323,"heterocycle biosynthetic process//regulation of cellular process//regulation of nitrogen compound metabolic process//regulation of cellular macromolecule biosynthetic process//RNA metabolic process//gene expression//regulation of macromolecule metabolic process//regulation of nucleic acid-templated transcription//regulation of molecular function//nucleobase-containing compound metabolic process//organic substance biosynthetic process//biological_process//nucleic acid-templated transcription//nitrogen compound metabolic process//transcription, DNA-templated//regulation of metabolic process//cellular aromatic compound metabolic process//regulation of cellular biosynthetic process//macromolecule metabolic process//regulation of transcription, DNA-templated//cellular macromolecule metabolic process//RNA biosynthetic process//heterocycle metabolic process//cellular metabolic process//regulation of biological process//regulation of macromolecule biosynthetic process//cellular macromolecule biosynthetic process//nucleic acid metabolic process//nucleobase-containing compound biosynthetic process//regulation of RNA biosynthetic process//regulation of RNA metabolic process//cellular nitrogen compound biosynthetic process//regulation of nucleobase-containing compound metabolic process//cellular process//regulation of gene expression//macromolecule biosynthetic process//metabolic process//regulation of biosynthetic process//aromatic compound biosynthetic process//regulation of primary metabolic process//cellular nitrogen compound metabolic process//regulation of sequence-specific DNA binding transcription factor activity//cellular biosynthetic process//organic cyclic compound biosynthetic process//biological regulation//organic cyclic compound metabolic process//biosynthetic process//organic substance metabolic process//primary metabolic process//regulation of cellular metabolic process",GO:0044464//GO:0005575//GO:0044425//GO:0031224//GO:0005634//GO:0043231//GO:0044424//GO:0016020//GO:0005622//GO:0043227//GO:0005623//GO:0043226//GO:0016021//GO:0043229,cell part//cellular_component//membrane part//intrinsic component of membrane//nucleus//intracellular membrane-bounded organelle//intracellular part//membrane//intracellular//membrane-bounded organelle//cell//organelle//integral component of membrane//intracellular organelle,--,--,"K01834 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11] | (RefSeq) gpmA; phosphoglyceromutase 1",http://www.genome.jp/dbget-bin/www_bget?eco:b0755,phosphoglyceromutase 1,-469.2380259587394,98.0,498.0,596.0
b4046,zur,-1.7636,DOWN,150.950289903753,334.3328253263663,GO:0051172//GO:0006139//GO:0031327//GO:0009890//GO:0008152//GO:1902679//GO:0010605//GO:1901576//GO:0008150//GO:0045934//GO:0097659//GO:0031324//GO:0006351//GO:0019222//GO:0006807//GO:2001141//GO:0034654//GO:0018130//GO:0090304//GO:0034645//GO:0050794//GO:0051171//GO:0010558//GO:0048519//GO:0044271//GO:2000112//GO:0010629//GO:0051252//GO:0009892//GO:0010468//GO:0009987//GO:0016070//GO:0019219//GO:0045892//GO:0060255//GO:0009059//GO:0010467//GO:1903506//GO:0048523//GO:0044260//GO:1901362//GO:0032774//GO:0065007//GO:1901360//GO:0009058//GO:0044237//GO:0046483//GO:0010556//GO:0050789//GO:0044238//GO:1903507//GO:0071704//GO:0031323//GO:0006725//GO:0019438//GO:0009889//GO:0080090//GO:0031326//GO:0034641//GO:2000113//GO:0043170//GO:0051253//GO:0006355//GO:0044249,"negative regulation of nitrogen compound metabolic process//nucleobase-containing compound metabolic process//negative regulation of cellular biosynthetic process//negative regulation of biosynthetic process//metabolic process//negative regulation of RNA biosynthetic process//negative regulation of macromolecule metabolic process//organic substance biosynthetic process//biological_process//negative regulation of nucleobase-containing compound metabolic process//nucleic acid-templated transcription//negative regulation of cellular metabolic process//transcription, DNA-templated//regulation of metabolic process//nitrogen compound metabolic process//regulation of RNA biosynthetic process//nucleobase-containing compound biosynthetic process//heterocycle biosynthetic process//nucleic acid metabolic process//cellular macromolecule biosynthetic process//regulation of cellular process//regulation of nitrogen compound metabolic process//negative regulation of macromolecule biosynthetic process//negative regulation of biological process//cellular nitrogen compound biosynthetic process//regulation of cellular macromolecule biosynthetic process//negative regulation of gene expression//regulation of RNA metabolic process//negative regulation of metabolic process//regulation of gene expression//cellular process//RNA metabolic process//regulation of nucleobase-containing compound metabolic process//negative regulation of transcription, DNA-templated//regulation of macromolecule metabolic process//macromolecule biosynthetic process//gene expression//regulation of nucleic acid-templated transcription//negative regulation of cellular process//cellular macromolecule metabolic process//organic cyclic compound biosynthetic process//RNA biosynthetic process//biological regulation//organic cyclic compound metabolic process//biosynthetic process//cellular metabolic process//heterocycle metabolic process//regulation of macromolecule biosynthetic process//regulation of biological process//primary metabolic process//negative regulation of nucleic acid-templated transcription//organic substance metabolic process//regulation of cellular metabolic process//cellular aromatic compound metabolic process//aromatic compound biosynthetic process//regulation of biosynthetic process//regulation of primary metabolic process//regulation of cellular biosynthetic process//cellular nitrogen compound metabolic process//negative regulation of cellular macromolecule biosynthetic process//macromolecule metabolic process//negative regulation of RNA metabolic process//regulation of transcription, DNA-templated//cellular biosynthetic process",--,--,GO:0003677//GO:0003700//GO:0003676//GO:0001071//GO:0003674//GO:1901363//GO:0097159//GO:0005488,"DNA binding//transcription factor activity, sequence-specific DNA binding//nucleic acid binding//nucleic acid binding transcription factor activity//molecular_function//heterocyclic compound binding//organic cyclic compound binding//binding","K09823 Fur family transcriptional regulator, zinc uptake regulator | (RefSeq) zur; transcriptional repressor, Zn(II)-binding",http://www.genome.jp/dbget-bin/www_bget?eco:b4046,transcriptional repressor%2C Zn(II)-binding,-183.38253542261327,363.0,233.0,596.0
b1723,pfkB,-1.6284,DOWN,197.55635398087702,390.40744608231967,--,--,--,--,--,--,K16370 6-phosphofructokinase 2 [EC:2.7.1.11] | (RefSeq) pfkB; 6-phosphofructokinase II,http://www.genome.jp/dbget-bin/www_bget?eco:b1723,6-phosphofructokinase II,-192.85109210144265,306.0,291.0,597.0
b1764,selD,-1.5923,DOWN,201.452719186185,408.30760891935466,--,--,--,--,--,--,"K01008 selenide, water dikinase [EC:2.7.9.3] | (RefSeq) selD; selenophosphate synthase",http://www.genome.jp/dbget-bin/www_bget?eco:b1764,selenophosphate synthase,-206.85488973316967,294.0,304.0,598.0
b2925,fbaA,-1.1724,DOWN,1228.75977274848,1807.4239140542202,GO:0005975//GO:0044238//GO:0071704//GO:0008152//GO:0008150,carbohydrate metabolic process//primary metabolic process//organic substance metabolic process//metabolic process//biological_process,--,--,GO:0003824//GO:0003674//GO:0046872//GO:0016830//GO:0043167//GO:0046914//GO:0005488//GO:0016832//GO:0008270//GO:0043169//GO:0016829,catalytic activity//molecular_function//metal ion binding//carbon-carbon lyase activity//ion binding//transition metal ion binding//binding//aldehyde-lyase activity//zinc ion binding//cation binding//lyase activity,"K01624 fructose-bisphosphate aldolase, class II [EC:4.1.2.13] | (RefSeq) fbaA; fructose-bisphosphate aldolase, class II",http://www.genome.jp/dbget-bin/www_bget?eco:b2925,fructose-bisphosphate aldolase%2C class II,-578.6641413057403,74.0,534.0,608.0
b0791,ybhQ,-1.2953,DOWN,514.0928765648255,824.3099104735567,GO:0015979//GO:0008150//GO:0044237//GO:0009987//GO:0008152,photosynthesis//biological_process//cellular metabolic process//cellular process//metabolic process,GO:0005575//GO:0044425//GO:0044464//GO:0034357//GO:0044436//GO:0031224//GO:0009521//GO:0016020//GO:0044424//GO:0009523//GO:0098796//GO:0009579//GO:0043234//GO:0032991//GO:0005623//GO:0005622//GO:0016021,cellular_component//membrane part//cell part//photosynthetic membrane//thylakoid part//intrinsic component of membrane//photosystem//membrane//intracellular part//photosystem II//membrane protein complex//thylakoid//protein complex//macromolecular complex//cell//intracellular//integral component of membrane,--,--,no KO assigned | (RefSeq) ybhQ; inner membrane protein,http://www.genome.jp/dbget-bin/www_bget?eco:b0791,inner membrane protein,-310.2170339087312,166.0,442.0,608.0
b0488,ybbJ,-1.9083,DOWN,115.679488721881,263.7272534042933,GO:0032502//GO:0019538//GO:0044699//GO:0043170//GO:0008150//GO:0006810//GO:0019954//GO:0051234//GO:0000003//GO:0051179//GO:0044767//GO:0006508//GO:0071704//GO:0044238//GO:0055085//GO:0030436//GO:0008152//GO:1902578//GO:0009987//GO:0043934//GO:0044763//GO:0044765,developmental process//protein metabolic process//single-organism process//macromolecule metabolic process//biological_process//transport//asexual reproduction//establishment of localization//reproduction//localization//single-organism developmental process//proteolysis//organic substance metabolic process//primary metabolic process//transmembrane transport//asexual sporulation//metabolic process//single-organism localization//cellular process//sporulation//single-organism cellular process//single-organism transport,GO:0031224//GO:0005575//GO:0044425//GO:0016021//GO:0016020,intrinsic component of membrane//cellular_component//membrane part//integral component of membrane//membrane,GO:0004175//GO:0043167//GO:0001882//GO:0097367//GO:0035639//GO:0016787//GO:0005488//GO:0097159//GO:0005215//GO:0022804//GO:0043168//GO:0032550//GO:1901265//GO:0001883//GO:0017111//GO:0032559//GO:0042623//GO:0008233//GO:0032555//GO:0032549//GO:0000166//GO:1901363//GO:0004190//GO:0016820//GO:0036094//GO:0017076//GO:0016818//GO:0030554//GO:0032553//GO:0043492//GO:0070001//GO:0016817//GO:0070011//GO:0042626//GO:0015405//GO:0015399//GO:0003674//GO:0003824//GO:0005524//GO:0016887//GO:0016462//GO:0022857,"endopeptidase activity//ion binding//nucleoside binding//carbohydrate derivative binding//purine ribonucleoside triphosphate binding//hydrolase activity//binding//organic cyclic compound binding//transporter activity//active transmembrane transporter activity//anion binding//purine ribonucleoside binding//nucleoside phosphate binding//purine nucleoside binding//nucleoside-triphosphatase activity//adenyl ribonucleotide binding//ATPase activity, coupled//peptidase activity//purine ribonucleotide binding//ribonucleoside binding//nucleotide binding//heterocyclic compound binding//aspartic-type endopeptidase activity//hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances//small molecule binding//purine nucleotide binding//hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides//adenyl nucleotide binding//ribonucleotide binding//ATPase activity, coupled to movement of substances//aspartic-type peptidase activity//hydrolase activity, acting on acid anhydrides//peptidase activity, acting on L-amino acid peptides//ATPase activity, coupled to transmembrane movement of substances//P-P-bond-hydrolysis-driven transmembrane transporter activity//primary active transmembrane transporter activity//molecular_function//catalytic activity//ATP binding//ATPase activity//pyrophosphatase activity//transmembrane transporter activity",K07340 inner membrane protein | (RefSeq) ybbJ; inner membrane protein; stimulator of the QmcA suppressor of ftsH-htpX,http://www.genome.jp/dbget-bin/www_bget?eco:b0488,inner membrane protein%3B stimulator of the QmcA suppressor of ftsH-htpX,-148.04776468241232,431.0,180.0,611.0
b2343,yfcZ,-1.1391,DOWN,1883.83111180787,2524.47220360526,GO:0044699//GO:0019538//GO:0016042//GO:0044260//GO:0006412//GO:0044237//GO:0009056//GO:0043043//GO:1901566//GO:0043170//GO:0006807//GO:0044712//GO:0043604//GO:0008150//GO:1901576//GO:1901564//GO:0010467//GO:0006629//GO:1901575//GO:0044238//GO:0071704//GO:0009058//GO:0034641//GO:0044249//GO:0043603//GO:0044267//GO:0008152//GO:0044710//GO:0044271//GO:0034645//GO:0006518//GO:0009059//GO:0009987,single-organism process//protein metabolic process//lipid catabolic process//cellular macromolecule metabolic process//translation//cellular metabolic process//catabolic process//peptide biosynthetic process//organonitrogen compound biosynthetic process//macromolecule metabolic process//nitrogen compound metabolic process//single-organism catabolic process//amide biosynthetic process//biological_process//organic substance biosynthetic process//organonitrogen compound metabolic process//gene expression//lipid metabolic process//organic substance catabolic process//primary metabolic process//organic substance metabolic process//biosynthetic process//cellular nitrogen compound metabolic process//cellular biosynthetic process//cellular amide metabolic process//cellular protein metabolic process//metabolic process//single-organism metabolic process//cellular nitrogen compound biosynthetic process//cellular macromolecule biosynthetic process//peptide metabolic process//macromolecule biosynthetic process//cellular process,GO:0030529//GO:0005737//GO:0043232//GO:0005840//GO:0005575//GO:0044464//GO:0043229//GO:0005623//GO:0005622//GO:0044444//GO:0043226//GO:0032991//GO:0044424//GO:0043228,ribonucleoprotein complex//cytoplasm//intracellular non-membrane-bounded organelle//ribosome//cellular_component//cell part//intracellular organelle//cell//intracellular//cytoplasmic part//organelle//macromolecular complex//intracellular part//non-membrane-bounded organelle,GO:0003735//GO:0005198//GO:0003674,structural constituent of ribosome//structural molecule activity//molecular_function,no KO assigned | (RefSeq) yfcZ; UPF0381 family protein,http://www.genome.jp/dbget-bin/www_bget?eco:b2343,UPF0381 family protein,-640.6410917973899,57.0,556.5,613.5
b2266,elaB,-1.1062,DOWN,2880.0205742989647,3863.7418280215934,--,--,--,--,--,--,K05594 ElaB protein | (RefSeq) elaB; putative membrane-anchored DUF883 family ribosome-binding protein,http://www.genome.jp/dbget-bin/www_bget?eco:b2266,putative membrane-anchored DUF883 family ribosome-binding protein,-983.7212537226287,31.0,583.0,614.0
b0119,yacL,-1.3868,DOWN,344.530898972811,582.1204871023994,--,--,--,--,--,--,K09910 uncharacterized protein | (RefSeq) yacL; UPF0231 family protein,http://www.genome.jp/dbget-bin/www_bget?eco:b0119,UPF0231 family protein,-237.58958812958838,225.0,390.0,615.0
b0454,ybaZ,-2.029,DOWN,91.07244661953484,248.62557722840302,GO:0046483//GO:0044237//GO:0006281//GO:0044260//GO:0044699//GO:0043170//GO:0006725//GO:0050896//GO:0008150//GO:0006807//GO:0006139//GO:0006950//GO:0006259//GO:0071704//GO:0044238//GO:1901360//GO:0033554//GO:0034641//GO:0044710//GO:0051716//GO:0006974//GO:0008152//GO:0009987//GO:0044763//GO:0090304,heterocycle metabolic process//cellular metabolic process//DNA repair//cellular macromolecule metabolic process//single-organism process//macromolecule metabolic process//cellular aromatic compound metabolic process//response to stimulus//biological_process//nitrogen compound metabolic process//nucleobase-containing compound metabolic process//response to stress//DNA metabolic process//organic substance metabolic process//primary metabolic process//organic cyclic compound metabolic process//cellular response to stress//cellular nitrogen compound metabolic process//single-organism metabolic process//cellular response to stimulus//cellular response to DNA damage stimulus//metabolic process//cellular process//single-organism cellular process//nucleic acid metabolic process,--,--,GO:0003824//GO:0003674,catalytic activity//molecular_function,"K07443 methylated-DNA-protein-cysteine methyltransferase related protein | (RefSeq) ybaZ; excision repair protein, alkyltransferase-like protein ATL",http://www.genome.jp/dbget-bin/www_bget?eco:b0454,excision repair protein%2C alkyltransferase-like protein ATL,-157.55313060886817,455.0,161.0,616.0
b1858,znuC,-2.2106,DOWN,78.1693370246804,223.56849108653202,GO:0034641//GO:0033554//GO:1901360//GO:0044238//GO:0071704//GO:0090304//GO:0044763//GO:0009987//GO:0008152//GO:0006298//GO:0006974//GO:0051716//GO:0044710//GO:0006725//GO:0050896//GO:0043170//GO:0044699//GO:0044260//GO:0044237//GO:0006281//GO:0046483//GO:0006259//GO:0006950//GO:0006139//GO:0006807//GO:0008150,cellular nitrogen compound metabolic process//cellular response to stress//organic cyclic compound metabolic process//primary metabolic process//organic substance metabolic process//nucleic acid metabolic process//single-organism cellular process//cellular process//metabolic process//mismatch repair//cellular response to DNA damage stimulus//cellular response to stimulus//single-organism metabolic process//cellular aromatic compound metabolic process//response to stimulus//macromolecule metabolic process//single-organism process//cellular macromolecule metabolic process//cellular metabolic process//DNA repair//heterocycle metabolic process//DNA metabolic process//response to stress//nucleobase-containing compound metabolic process//nitrogen compound metabolic process//biological_process,--,--,GO:0016818//GO:0030554//GO:0032553//GO:0043566//GO:0017076//GO:0036094//GO:0003924//GO:1901363//GO:0000166//GO:0016462//GO:0016887//GO:0005524//GO:0003674//GO:0003824//GO:0003677//GO:0003676//GO:0003690//GO:0016817//GO:0032561//GO:0097159//GO:0005488//GO:0030983//GO:0016787//GO:0005525//GO:0035639//GO:0097367//GO:0001882//GO:0043167//GO:0032555//GO:0032549//GO:0032559//GO:0017111//GO:0001883//GO:0019001//GO:1901265//GO:0032550//GO:0043168,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides//adenyl nucleotide binding//ribonucleotide binding//structure-specific DNA binding//purine nucleotide binding//small molecule binding//GTPase activity//heterocyclic compound binding//nucleotide binding//pyrophosphatase activity//ATPase activity//ATP binding//molecular_function//catalytic activity//DNA binding//nucleic acid binding//double-stranded DNA binding//hydrolase activity, acting on acid anhydrides//guanyl ribonucleotide binding//organic cyclic compound binding//binding//mismatched DNA binding//hydrolase activity//GTP binding//purine ribonucleoside triphosphate binding//carbohydrate derivative binding//nucleoside binding//ion binding//purine ribonucleotide binding//ribonucleoside binding//adenyl ribonucleotide binding//nucleoside-triphosphatase activity//purine nucleoside binding//guanyl nucleotide binding//nucleoside phosphate binding//purine ribonucleoside binding//anion binding",K09817 zinc transport system ATP-binding protein [EC:3.6.3.-] | (RefSeq) znuC; zinc ABC transporter ATPase,http://www.genome.jp/dbget-bin/www_bget?eco:b1858,zinc ABC transporter ATPase,-145.39915406185162,494.0,126.0,620.0
b1823,cspC,-1.114,DOWN,2133.4252396616803,3064.75555440334,GO:0006139//GO:0008150//GO:1901576//GO:0097659//GO:0006351//GO:0019222//GO:0006807//GO:0018130//GO:0050794//GO:0051171//GO:2000112//GO:0016070//GO:0060255//GO:0010467//GO:1903506//GO:0044260//GO:0032774//GO:0044237//GO:0046483//GO:0010556//GO:0050789//GO:0006725//GO:0031326//GO:0043170//GO:0006355//GO:0008152//GO:2001141//GO:0034654//GO:0090304//GO:0034645//GO:0044271//GO:0051252//GO:0009987//GO:0010468//GO:0019219//GO:0009059//GO:1901362//GO:0065007//GO:1901360//GO:0009058//GO:0071704//GO:0044238//GO:0031323//GO:0019438//GO:0009889//GO:0080090//GO:0034641//GO:0044249,"nucleobase-containing compound metabolic process//biological_process//organic substance biosynthetic process//nucleic acid-templated transcription//transcription, DNA-templated//regulation of metabolic process//nitrogen compound metabolic process//heterocycle biosynthetic process//regulation of cellular process//regulation of nitrogen compound metabolic process//regulation of cellular macromolecule biosynthetic process//RNA metabolic process//regulation of macromolecule metabolic process//gene expression//regulation of nucleic acid-templated transcription//cellular macromolecule metabolic process//RNA biosynthetic process//cellular metabolic process//heterocycle metabolic process//regulation of macromolecule biosynthetic process//regulation of biological process//cellular aromatic compound metabolic process//regulation of cellular biosynthetic process//macromolecule metabolic process//regulation of transcription, DNA-templated//metabolic process//regulation of RNA biosynthetic process//nucleobase-containing compound biosynthetic process//nucleic acid metabolic process//cellular macromolecule biosynthetic process//cellular nitrogen compound biosynthetic process//regulation of RNA metabolic process//cellular process//regulation of gene expression//regulation of nucleobase-containing compound metabolic process//macromolecule biosynthetic process//organic cyclic compound biosynthetic process//biological regulation//organic cyclic compound metabolic process//biosynthetic process//organic substance metabolic process//primary metabolic process//regulation of cellular metabolic process//aromatic compound biosynthetic process//regulation of biosynthetic process//regulation of primary metabolic process//cellular nitrogen compound metabolic process//cellular biosynthetic process",--,--,GO:0097159//GO:0005488//GO:0003677//GO:0003676//GO:0003674//GO:1901363,organic cyclic compound binding//binding//DNA binding//nucleic acid binding//molecular_function//heterocyclic compound binding,"K03704 cold shock protein (beta-ribbon, CspA family) | (RefSeq) cspC; stress protein, member of the CspA-family",http://www.genome.jp/dbget-bin/www_bget?eco:b1823,stress protein%2C member of the CspA-family,-931.3303147416595,43.0,577.0,620.0
b0659,ybeY,-1.6892,DOWN,155.90233660697498,335.04830246323667,GO:0034641//GO:0006396//GO:0006364//GO:0042254//GO:1901360//GO:0044238//GO:0071704//GO:0044085//GO:0016072//GO:0090304//GO:0009987//GO:0071840//GO:0034660//GO:0008152//GO:0006725//GO:0022613//GO:0034470//GO:0043170//GO:0044260//GO:0044237//GO:0046483//GO:0016070//GO:0010467//GO:0006139//GO:0006807//GO:0008150,cellular nitrogen compound metabolic process//RNA processing//rRNA processing//ribosome biogenesis//organic cyclic compound metabolic process//primary metabolic process//organic substance metabolic process//cellular component biogenesis//rRNA metabolic process//nucleic acid metabolic process//cellular process//cellular component organization or biogenesis//ncRNA metabolic process//metabolic process//cellular aromatic compound metabolic process//ribonucleoprotein complex biogenesis//ncRNA processing//macromolecule metabolic process//cellular macromolecule metabolic process//cellular metabolic process//heterocycle metabolic process//RNA metabolic process//gene expression//nucleobase-containing compound metabolic process//nitrogen compound metabolic process//biological_process,--,--,GO:0008237//GO:0004222//GO:0003824//GO:0003674//GO:0070011//GO:0016787//GO:0004175//GO:0008233,"metallopeptidase activity//metalloendopeptidase activity//catalytic activity//molecular_function//peptidase activity, acting on L-amino acid peptides//hydrolase activity//endopeptidase activity//peptidase activity",K07042 probable rRNA maturation factor | (RefSeq) ybeY; ssRNA-specific endoribonuclease; 16S rRNA 3' end maturation and quality control co-endoribonuclease working with RNase R; rRNA transcription antitermination factor,http://www.genome.jp/dbget-bin/www_bget?eco:b0659,ssRNA-specific endoribonuclease%3B 16S rRNA 3' end maturation and quality control co-endoribonuclease working with RNase R%3B rRNA transcription antitermination factor,-179.14596585626168,361.0,260.0,621.0
b1732,katE,-2.0309,DOWN,90.63470052540775,246.71163512124835,GO:0008150//GO:0044712//GO:0044699//GO:0016042//GO:0055114//GO:0009056//GO:0044710//GO:0008152//GO:0071704//GO:0044238//GO:0006629//GO:1901575,biological_process//single-organism catabolic process//single-organism process//lipid catabolic process//oxidation-reduction process//catabolic process//single-organism metabolic process//metabolic process//organic substance metabolic process//primary metabolic process//lipid metabolic process//organic substance catabolic process,--,--,GO:0016298//GO:0016491//GO:0020037//GO:0016684//GO:0016209//GO:0016787//GO:0097159//GO:0005488//GO:0046906//GO:0004806//GO:0016788//GO:0003674//GO:0003824//GO:0052689//GO:1901363//GO:0004601//GO:0004096,"lipase activity//oxidoreductase activity//heme binding//oxidoreductase activity, acting on peroxide as acceptor//antioxidant activity//hydrolase activity//organic cyclic compound binding//binding//tetrapyrrole binding//triglyceride lipase activity//hydrolase activity, acting on ester bonds//molecular_function//catalytic activity//carboxylic ester hydrolase activity//heterocyclic compound binding//peroxidase activity//catalase activity","K03781 catalase [EC:1.11.1.6] | (RefSeq) katE; catalase HPII, heme d-containing",http://www.genome.jp/dbget-bin/www_bget?eco:b1732,catalase HPII%2C heme d-containing,-156.0769345958406,461.0,160.0,621.0
b0435,bolA,-1.0976,DOWN,2846.99805935665,3729.5329577646567,--,--,--,--,--,--,"K05527 BolA protein | (RefSeq) bolA; stationary-phase morphogene, transcriptional repressor for mreB; also regulator for dacA, dacC, and ampC",http://www.genome.jp/dbget-bin/www_bget?eco:b0435,stationary-phase morphogene%2C transcriptional repressor for mreB%3B also regulator for dacA%2C dacC%2C and ampC,-882.5348984080065,34.0,588.0,622.0
b2751,cysN,-3.7669,DOWN,18.78613453835035,167.30120606298797,GO:0035556//GO:0065007//GO:0023052//GO:0044763//GO:0007264//GO:0009987//GO:0044700//GO:0007154//GO:0051716//GO:0050896//GO:0044699//GO:0050789//GO:0050794//GO:0007165//GO:0008150,intracellular signal transduction//biological regulation//signaling//single-organism cellular process//small GTPase mediated signal transduction//cellular process//single organism signaling//cell communication//cellular response to stimulus//response to stimulus//single-organism process//regulation of biological process//regulation of cellular process//signal transduction//biological_process,GO:0016021//GO:0016020//GO:0044425//GO:0005575//GO:0031224,integral component of membrane//membrane//membrane part//cellular_component//intrinsic component of membrane,GO:0032553//GO:0004523//GO:0016891//GO:0036094//GO:0004540//GO:0017076//GO:1901363//GO:0000166//GO:0016893//GO:0004519//GO:0003674//GO:0003824//GO:0016788//GO:0032561//GO:0016787//GO:0005488//GO:0097159//GO:0004521//GO:0001882//GO:0043167//GO:0004518//GO:0005525//GO:0035639//GO:0097367//GO:0032555//GO:0032549//GO:0019001//GO:1901265//GO:0001883//GO:0043168//GO:0032550,"ribonucleotide binding//RNA-DNA hybrid ribonuclease activity//endoribonuclease activity, producing 5'-phosphomonoesters//small molecule binding//ribonuclease activity//purine nucleotide binding//heterocyclic compound binding//nucleotide binding//endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters//endonuclease activity//molecular_function//catalytic activity//hydrolase activity, acting on ester bonds//guanyl ribonucleotide binding//hydrolase activity//binding//organic cyclic compound binding//endoribonuclease activity//nucleoside binding//ion binding//nuclease activity//GTP binding//purine ribonucleoside triphosphate binding//carbohydrate derivative binding//purine ribonucleotide binding//ribonucleoside binding//guanyl nucleotide binding//nucleoside phosphate binding//purine nucleoside binding//anion binding//purine ribonucleoside binding","K00956 sulfate adenylyltransferase subunit 1 [EC:2.7.7.4] | (RefSeq) cysN; sulfate adenylyltransferase, subunit 1",http://www.genome.jp/dbget-bin/www_bget?eco:b2751,sulfate adenylyltransferase%2C subunit 1,-148.51507152463762,591.0,31.0,622.0
b1259,yciG,-1.7443,DOWN,174.9397914791425,315.88074761605964,--,--,--,--,--,--,K06884 uncharacterized protein | (RefSeq) yciG; KGG family protein,http://www.genome.jp/dbget-bin/www_bget?eco:b1259,KGG family protein,-140.94095613691712,378.0,244.0,622.0
b2415,ptsH,-1.1379,DOWN,1326.32758336847,1846.0394945358833,--,--,--,--,--,--,K02784 phosphocarrier protein HPr | (RefSeq) ptsH; phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr),http://www.genome.jp/dbget-bin/www_bget?eco:b2415,phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr),-519.7119111674133,69.0,558.0,627.0
