Gene_id,Genename,log2FoldChange(KANvsH2O),significant(KANvsH2O),KAN_avg_fpkm,H2O_avg_fpkm,biological_process,biological_process_description,cellular_component,cellular_component_description,molecular_function,molecular_function_description,KEGG AnnotInfo,KEGG url,Description,FPKM_Difference,Rank_FPKM,Rank_Log2FC,Effect_Size
b1123,potD,-2.5592,DOWN,74.93884915997712,293.28085973001134,GO:0051179//GO:0051234//GO:0008150//GO:0006810,localization//establishment of localization//biological_process//transport,--,--,GO:0003674//GO:0005215,molecular_function//transporter activity,K11069 spermidine/putrescine transport system substrate-binding protein | (RefSeq) potD; spermidine/putrescine ABC transporter periplasmic binding protein,http://www.genome.jp/dbget-bin/www_bget?eco:b1123,spermidine/putrescine ABC transporter periplasmic binding protein,-218.34201057003423,523.0,376.0,899.0
b2937,speB,-2.1748,DOWN,128.078111459512,381.4423240080023,--,--,--,--,GO:0003674//GO:0046872//GO:0043169//GO:0043167//GO:0005488,molecular_function//metal ion binding//cation binding//ion binding//binding,K01480 agmatinase [EC:3.5.3.11] | (RefSeq) speB; agmatinase,http://www.genome.jp/dbget-bin/www_bget?eco:b2937,agmatinase,-253.3642125484903,405.0,497.0,902.0
b0054,lptD,-2.3154,DOWN,104.13198494313474,341.147771695263,GO:0008150//GO:0061024//GO:0010033//GO:0042221//GO:0050896//GO:0016043//GO:0009987//GO:0071840,biological_process//membrane organization//response to organic substance//response to chemical//response to stimulus//cellular component organization//cellular process//cellular component organization or biogenesis,GO:0005575//GO:0019867//GO:0016020,cellular_component//outer membrane//membrane,--,--,"K04744 LPS-assembly protein | (RefSeq) lptD; LPS assembly OM complex LptDE, beta-barrel component",http://www.genome.jp/dbget-bin/www_bget?eco:b0054,LPS assembly OM complex LptDE%2C beta-barrel component,-237.01578675212824,455.0,447.0,902.0
b0473,htpG,-2.2937,DOWN,107.64835376781234,347.5578274249323,GO:0006950//GO:0008150//GO:0006810//GO:0051179//GO:0051234//GO:0042157//GO:0043170//GO:0006869//GO:0050896//GO:0044237//GO:0044699//GO:0019538//GO:0044260//GO:0009987//GO:1902578//GO:0044765//GO:0006457//GO:0008152//GO:0010876//GO:0033036//GO:0044267//GO:0071704//GO:0044238//GO:0071702,response to stress//biological_process//transport//localization//establishment of localization//lipoprotein metabolic process//macromolecule metabolic process//lipid transport//response to stimulus//cellular metabolic process//single-organism process//protein metabolic process//cellular macromolecule metabolic process//cellular process//single-organism localization//single-organism transport//protein folding//metabolic process//lipid localization//macromolecule localization//cellular protein metabolic process//organic substance metabolic process//primary metabolic process//organic substance transport,GO:0005575//GO:0044446//GO:0044464//GO:0000151//GO:0005576//GO:0044424//GO:0044422//GO:0043231//GO:0031461//GO:0005680//GO:0005634//GO:0044428//GO:0043226//GO:0043234//GO:0032991//GO:1990234//GO:0005623//GO:0043227//GO:0005622//GO:0000152//GO:0043229//GO:1902494,cellular_component//intracellular organelle part//cell part//ubiquitin ligase complex//extracellular region//intracellular part//organelle part//intracellular membrane-bounded organelle//cullin-RING ubiquitin ligase complex//anaphase-promoting complex//nucleus//nuclear part//organelle//protein complex//macromolecular complex//transferase complex//cell//membrane-bounded organelle//intracellular//nuclear ubiquitin ligase complex//intracellular organelle//catalytic complex,GO:0001883//GO:1901265//GO:0032555//GO:0051082//GO:0032549//GO:0032559//GO:0005515//GO:0032550//GO:0043168//GO:0008289//GO:0097367//GO:0035639//GO:0043167//GO:0001882//GO:0005488//GO:0097159//GO:0005524//GO:0003674//GO:0032553//GO:0030554//GO:1901363//GO:0000166//GO:0017076//GO:0036094,purine nucleoside binding//nucleoside phosphate binding//purine ribonucleotide binding//unfolded protein binding//ribonucleoside binding//adenyl ribonucleotide binding//protein binding//purine ribonucleoside binding//anion binding//lipid binding//carbohydrate derivative binding//purine ribonucleoside triphosphate binding//ion binding//nucleoside binding//binding//organic cyclic compound binding//ATP binding//molecular_function//ribonucleotide binding//adenyl nucleotide binding//heterocyclic compound binding//nucleotide binding//purine nucleotide binding//small molecule binding,"K04079 molecular chaperone HtpG | (RefSeq) htpG; protein refolding molecular co-chaperone Hsp90, Hsp70-dependent; heat-shock protein; ATPase",http://www.genome.jp/dbget-bin/www_bget?eco:b0473,protein refolding molecular co-chaperone Hsp90%2C Hsp70-dependent%3B heat-shock protein%3B ATPase,-239.90947365711997,445.0,457.0,902.0
b3616,tdh,-1.8912,DOWN,224.371921357197,551.8314410338679,GO:0008150//GO:0044699//GO:0055114//GO:0008152//GO:0044710,biological_process//single-organism process//oxidation-reduction process//metabolic process//single-organism metabolic process,--,--,GO:0043168//GO:0016491//GO:0051287//GO:1901265//GO:0050660//GO:0008168//GO:0071949//GO:0005488//GO:0097159//GO:0043167//GO:0016616//GO:0016741//GO:0016740//GO:0003674//GO:0003824//GO:0048037//GO:0036094//GO:0000166//GO:1901363//GO:0050662//GO:0016614,"anion binding//oxidoreductase activity//NAD binding//nucleoside phosphate binding//flavin adenine dinucleotide binding//methyltransferase activity//FAD binding//binding//organic cyclic compound binding//ion binding//oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor//transferase activity, transferring one-carbon groups//transferase activity//molecular_function//catalytic activity//cofactor binding//small molecule binding//nucleotide binding//heterocyclic compound binding//coenzyme binding//oxidoreductase activity, acting on CH-OH group of donors","K00060 threonine 3-dehydrogenase [EC:1.1.1.103] | (RefSeq) tdh; L-threonine 3-dehydrogenase, NAD(P)-binding",http://www.genome.jp/dbget-bin/www_bget?eco:b3616,L-threonine 3-dehydrogenase%2C NAD(P)-binding,-327.4595196766709,294.0,609.0,903.0
b4226,ppa,-1.9796,DOWN,184.20202105456033,478.70299860233763,GO:0008150//GO:0006793//GO:0006796//GO:0044237//GO:0008152//GO:0009987,biological_process//phosphorus metabolic process//phosphate-containing compound metabolic process//cellular metabolic process//metabolic process//cellular process,GO:0044464//GO:0005575//GO:0005737//GO:0005622//GO:0005623//GO:0044424,cell part//cellular_component//cytoplasm//intracellular//cell//intracellular part,GO:0043169//GO:0000287//GO:0004427//GO:0016787//GO:0005488//GO:0043167//GO:0016817//GO:0046872//GO:0016462//GO:0003824//GO:0003674//GO:0016818,"cation binding//magnesium ion binding//inorganic diphosphatase activity//hydrolase activity//binding//ion binding//hydrolase activity, acting on acid anhydrides//metal ion binding//pyrophosphatase activity//catalytic activity//molecular_function//hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",K01507 inorganic pyrophosphatase [EC:3.6.1.1] | (RefSeq) ppa; inorganic pyrophosphatase,http://www.genome.jp/dbget-bin/www_bget?eco:b4226,inorganic pyrophosphatase,-294.5009775477773,337.0,566.0,903.0
b1552,cspI,-1.7828,DOWN,307.3354504570167,694.4368005295167,GO:0044249//GO:0009889//GO:0019438//GO:0080090//GO:0034641//GO:0009058//GO:0071704//GO:0044238//GO:0031323//GO:1901362//GO:0065007//GO:1901360//GO:0019219//GO:0009987//GO:0010468//GO:0009059//GO:0034645//GO:2001141//GO:0034654//GO:0090304//GO:0051252//GO:0044271//GO:0008152//GO:0043170//GO:0006355//GO:0006725//GO:0031326//GO:0046483//GO:0044237//GO:0050789//GO:0010556//GO:0044260//GO:0032774//GO:0016070//GO:0010467//GO:0060255//GO:1903506//GO:0018130//GO:0050794//GO:0051171//GO:2000112//GO:1901576//GO:0008150//GO:0097659//GO:0006807//GO:0019222//GO:0006351//GO:0006139,"cellular biosynthetic process//regulation of biosynthetic process//aromatic compound biosynthetic process//regulation of primary metabolic process//cellular nitrogen compound metabolic process//biosynthetic process//organic substance metabolic process//primary metabolic process//regulation of cellular metabolic process//organic cyclic compound biosynthetic process//biological regulation//organic cyclic compound metabolic process//regulation of nucleobase-containing compound metabolic process//cellular process//regulation of gene expression//macromolecule biosynthetic process//cellular macromolecule biosynthetic process//regulation of RNA biosynthetic process//nucleobase-containing compound biosynthetic process//nucleic acid metabolic process//regulation of RNA metabolic process//cellular nitrogen compound biosynthetic process//metabolic process//macromolecule metabolic process//regulation of transcription, DNA-templated//cellular aromatic compound metabolic process//regulation of cellular biosynthetic process//heterocycle metabolic process//cellular metabolic process//regulation of biological process//regulation of macromolecule biosynthetic process//cellular macromolecule metabolic process//RNA biosynthetic process//RNA metabolic process//gene expression//regulation of macromolecule metabolic process//regulation of nucleic acid-templated transcription//heterocycle biosynthetic process//regulation of cellular process//regulation of nitrogen compound metabolic process//regulation of cellular macromolecule biosynthetic process//organic substance biosynthetic process//biological_process//nucleic acid-templated transcription//nitrogen compound metabolic process//regulation of metabolic process//transcription, DNA-templated//nucleobase-containing compound metabolic process",--,--,GO:1901363//GO:0003674//GO:0003676//GO:0003677//GO:0005488//GO:0097159,heterocyclic compound binding//molecular_function//nucleic acid binding//DNA binding//binding//organic cyclic compound binding,"K03704 cold shock protein (beta-ribbon, CspA family) | (RefSeq) cspI; Qin prophage; cold shock protein",http://www.genome.jp/dbget-bin/www_bget?eco:b1552,Qin prophage%3B cold shock protein,-387.10135007250005,244.0,660.0,904.0
b2780,pyrG,-1.8674,DOWN,238.83662692696268,572.57337880454,GO:1901360//GO:1901362//GO:0071704//GO:0044238//GO:0009058//GO:0034641//GO:0019438//GO:0072528//GO:0044249//GO:0008152//GO:0006753//GO:0044710//GO:0055086//GO:0006541//GO:0044271//GO:1901293//GO:0044281//GO:0044711//GO:0044763//GO:0009064//GO:0034654//GO:0090407//GO:0009987//GO:0044699//GO:0006520//GO:0046483//GO:0044237//GO:1901605//GO:0006725//GO:0072527//GO:0006082//GO:0043436//GO:1901566//GO:0006220//GO:0006221//GO:0019752//GO:0006139//GO:0009117//GO:0006807//GO:0006793//GO:0008150//GO:1901576//GO:0019637//GO:1901564//GO:0018130//GO:0009165//GO:0006796,organic cyclic compound metabolic process//organic cyclic compound biosynthetic process//organic substance metabolic process//primary metabolic process//biosynthetic process//cellular nitrogen compound metabolic process//aromatic compound biosynthetic process//pyrimidine-containing compound biosynthetic process//cellular biosynthetic process//metabolic process//nucleoside phosphate metabolic process//single-organism metabolic process//nucleobase-containing small molecule metabolic process//glutamine metabolic process//cellular nitrogen compound biosynthetic process//nucleoside phosphate biosynthetic process//small molecule metabolic process//single-organism biosynthetic process//single-organism cellular process//glutamine family amino acid metabolic process//nucleobase-containing compound biosynthetic process//organophosphate biosynthetic process//cellular process//single-organism process//cellular amino acid metabolic process//heterocycle metabolic process//cellular metabolic process//alpha-amino acid metabolic process//cellular aromatic compound metabolic process//pyrimidine-containing compound metabolic process//organic acid metabolic process//oxoacid metabolic process//organonitrogen compound biosynthetic process//pyrimidine nucleotide metabolic process//pyrimidine nucleotide biosynthetic process//carboxylic acid metabolic process//nucleobase-containing compound metabolic process//nucleotide metabolic process//nitrogen compound metabolic process//phosphorus metabolic process//biological_process//organic substance biosynthetic process//organophosphate metabolic process//organonitrogen compound metabolic process//heterocycle biosynthetic process//nucleotide biosynthetic process//phosphate-containing compound metabolic process,--,--,GO:0016874//GO:0003674//GO:0003824//GO:0016879//GO:0003883//GO:0016787,"ligase activity//molecular_function//catalytic activity//ligase activity, forming carbon-nitrogen bonds//CTP synthase activity//hydrolase activity",K01937 CTP synthase [EC:6.3.4.2] | (RefSeq) pyrG; CTP synthetase,http://www.genome.jp/dbget-bin/www_bget?eco:b2780,CTP synthetase,-333.73675187757726,285.0,623.0,908.0
b3956,ppc,-2.5945,DOWN,68.2143817132965,271.7380586962707,GO:0019752//GO:0015980//GO:0008150//GO:0055114//GO:0006082//GO:0043436//GO:0044699//GO:0045333//GO:0044237//GO:0044281//GO:0044763//GO:0009987//GO:0008152//GO:0044710//GO:0009060//GO:0006099//GO:0015977//GO:0006101//GO:0006091//GO:0071704//GO:0044238//GO:0072350,carboxylic acid metabolic process//energy derivation by oxidation of organic compounds//biological_process//oxidation-reduction process//organic acid metabolic process//oxoacid metabolic process//single-organism process//cellular respiration//cellular metabolic process//small molecule metabolic process//single-organism cellular process//cellular process//metabolic process//single-organism metabolic process//aerobic respiration//tricarboxylic acid cycle//carbon fixation//citrate metabolic process//generation of precursor metabolites and energy//organic substance metabolic process//primary metabolic process//tricarboxylic acid metabolic process,--,--,GO:0016829//GO:0016831//GO:0004611//GO:0003824//GO:0003674//GO:0016830//GO:0008964,lyase activity//carboxy-lyase activity//phosphoenolpyruvate carboxykinase activity//catalytic activity//molecular_function//carbon-carbon lyase activity//phosphoenolpyruvate carboxylase activity,K01595 phosphoenolpyruvate carboxylase [EC:4.1.1.31] | (RefSeq) ppc; phosphoenolpyruvate carboxylase,http://www.genome.jp/dbget-bin/www_bget?eco:b3956,phosphoenolpyruvate carboxylase,-203.52367698297417,552.0,361.0,913.0
b3288,fmt,-1.8132,DOWN,257.7805435785313,600.086281009975,GO:0008150//GO:0009058//GO:0008152,biological_process//biosynthetic process//metabolic process,--,--,GO:0016742//GO:0016740//GO:0016741//GO:0003674//GO:0003824,"hydroxymethyl-, formyl- and related transferase activity//transferase activity//transferase activity, transferring one-carbon groups//molecular_function//catalytic activity",K00604 methionyl-tRNA formyltransferase [EC:2.1.2.9] | (RefSeq) fmt; 10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase,http://www.genome.jp/dbget-bin/www_bget?eco:b3288,10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase,-342.3057374314437,276.0,645.0,921.0
b2989,yghU,-2.4761,DOWN,78.3983153320181,288.6590460705413,--,--,--,--,GO:0005515//GO:0005488//GO:0042302//GO:0003674//GO:0005198,protein binding//binding//structural constituent of cuticle//molecular_function//structural molecule activity,K11209 GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-] | (RefSeq) yghU; putative S-transferase,http://www.genome.jp/dbget-bin/www_bget?eco:b2989,putative S-transferase,-210.2607307385232,530.0,396.5,926.5
b2378,lpxP,-1.9655,DOWN,181.44603494971966,465.60704524704465,--,--,GO:0016021//GO:0016020//GO:0031224//GO:0044425//GO:0005575,integral component of membrane//membrane//intrinsic component of membrane//membrane part//cellular_component,GO:0016740//GO:0003674//GO:0003824,transferase activity//molecular_function//catalytic activity,K12974 KDO2-lipid IV(A) palmitoleoyltransferase [EC:2.3.1.242] | (RefSeq) lpxP; palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase,http://www.genome.jp/dbget-bin/www_bget?eco:b2378,palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase,-284.161010297325,348.0,579.0,927.0
b4000,hupA,-1.6014,DOWN,490.152840597229,987.596895120098,--,--,GO:0009295//GO:0005575,nucleoid//cellular_component,GO:0003676//GO:0003677//GO:0003674//GO:1901363//GO:0097159//GO:0005488,nucleic acid binding//DNA binding//molecular_function//heterocyclic compound binding//organic cyclic compound binding//binding,"K05787 DNA-binding protein HU-alpha | (RefSeq) hupA; HU, DNA-binding transcriptional regulator, alpha subunit",http://www.genome.jp/dbget-bin/www_bget?eco:b4000,HU%2C DNA-binding transcriptional regulator%2C alpha subunit,-497.444054522869,175.0,758.0,933.0
b4558,yifL,-2.095,DOWN,135.38973577173,383.667901031382,--,--,--,--,--,--,no KO assigned | (RefSeq) yifL; putative lipoprotein,http://www.genome.jp/dbget-bin/www_bget?eco:b4558,putative lipoprotein,-248.27816525965198,402.0,532.0,934.0
b1514,lsrC,-3.833,DOWN,18.091550665342766,170.452384787775,GO:0051179//GO:0051234//GO:0008150//GO:0006810,localization//establishment of localization//biological_process//transport,GO:0005575//GO:0016020,cellular_component//membrane,GO:0005215//GO:0003674,transporter activity//molecular_function,K10556 AI-2 transport system permease protein | (RefSeq) lsrC; autoinducer 2 import system permease protein,http://www.genome.jp/dbget-bin/www_bget?eco:b1514,autoinducer 2 import system permease protein,-152.36083412243224,793.0,150.0,943.0
b3858,yihD,-2.9225,DOWN,43.40872456953203,220.13109807122234,--,--,--,--,GO:0003674//GO:0003824//GO:0016491,molecular_function//catalytic activity//oxidoreductase activity,K09896 uncharacterized protein | (RefSeq) yihD; DUF1040 protein YihD,http://www.genome.jp/dbget-bin/www_bget?eco:b3858,DUF1040 protein YihD,-176.7223735016903,679.0,273.5,952.5
b3945,gldA,-3.3496,DOWN,27.892052404030764,188.45964406259733,GO:0050794//GO:0007165//GO:0008150//GO:0050896//GO:0055114//GO:0016055//GO:0044699//GO:0050789//GO:0044763//GO:0009987//GO:0044700//GO:0008152//GO:0044710//GO:0007166//GO:0051716//GO:0007154//GO:0065007//GO:0023052,regulation of cellular process//signal transduction//biological_process//response to stimulus//oxidation-reduction process//Wnt signaling pathway//single-organism process//regulation of biological process//single-organism cellular process//cellular process//single organism signaling//metabolic process//single-organism metabolic process//cell surface receptor signaling pathway//cellular response to stimulus//cell communication//biological regulation//signaling,--,--,GO:0005515//GO:0043169//GO:0016491//GO:0005488//GO:0043167//GO:0003824//GO:0003674//GO:0008013//GO:0046872,protein binding//cation binding//oxidoreductase activity//binding//ion binding//catalytic activity//molecular_function//beta-catenin binding//metal ion binding,"K00005 glycerol dehydrogenase [EC:1.1.1.6] | (RefSeq) gldA; glycerol dehydrogenase, NAD+ dependent; 1,2-propanediol:NAD+ oxidoreductase",http://www.genome.jp/dbget-bin/www_bget?eco:b3945,glycerol dehydrogenase%2C NAD+ dependent%3B 1%2C2-propanediol:NAD+ oxidoreductase,-160.56759165856658,750.0,204.0,954.0
b3610,grxC,-2.7956,DOWN,50.535282682182135,234.18889227948932,GO:0050794//GO:0008150//GO:0065008//GO:0045454//GO:0050789//GO:0044699//GO:0009987//GO:0044763//GO:0042592//GO:0019725//GO:0065007,regulation of cellular process//biological_process//regulation of biological quality//cell redox homeostasis//regulation of biological process//single-organism process//cellular process//single-organism cellular process//homeostatic process//cellular homeostasis//biological regulation,--,--,GO:0005515//GO:0015036//GO:0016491//GO:0005488//GO:0003674//GO:0003824//GO:0009055//GO:0015035//GO:0016667,"protein binding//disulfide oxidoreductase activity//oxidoreductase activity//binding//molecular_function//catalytic activity//electron carrier activity//protein disulfide oxidoreductase activity//oxidoreductase activity, acting on a sulfur group of donors",K03676 glutaredoxin 3 | (RefSeq) grxC; glutaredoxin 3,http://www.genome.jp/dbget-bin/www_bget?eco:b3610,glutaredoxin 3,-183.6536095973072,647.0,308.0,955.0
b3203,hpf,-2.6871,DOWN,57.05808627072557,244.77870786889932,GO:0008150//GO:0008152//GO:0044238,biological_process//metabolic process//primary metabolic process,--,--,--,--,K05808 putative sigma-54 modulation protein | (RefSeq) hpf; ribosome hibernation promoting factor HPF; stabilizes 100S dimers,http://www.genome.jp/dbget-bin/www_bget?eco:b3203,ribosome hibernation promoting factor HPF%3B stabilizes 100S dimers,-187.72062159817375,617.0,340.0,957.0
b0119,yacL,-1.7579,DOWN,259.001431868501,582.1204871023994,--,--,--,--,--,--,K09910 uncharacterized protein | (RefSeq) yacL; UPF0231 family protein,http://www.genome.jp/dbget-bin/www_bget?eco:b0119,UPF0231 family protein,-323.11905523389834,283.0,677.0,960.0
b0095,ftsZ,-1.5743,DOWN,464.44432206761695,911.8362925403693,--,--,--,--,GO:0016817//GO:0016462//GO:0003824//GO:0003674//GO:0003924//GO:0016818//GO:0017111//GO:0016787,"hydrolase activity, acting on acid anhydrides//pyrophosphatase activity//catalytic activity//molecular_function//GTPase activity//hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides//nucleoside-triphosphatase activity//hydrolase activity",K03531 cell division protein FtsZ | (RefSeq) ftsZ; GTP-binding tubulin-like cell division protein,http://www.genome.jp/dbget-bin/www_bget?eco:b0095,GTP-binding tubulin-like cell division protein,-447.39197047275235,191.0,771.0,962.0
b3893,fdoH,-1.8498,DOWN,203.16567219098866,484.727761386142,--,--,--,--,--,--,"K00124 formate dehydrogenase iron-sulfur subunit | (RefSeq) fdoH; formate dehydrogenase-O, Fe-S subunit",http://www.genome.jp/dbget-bin/www_bget?eco:b3893,formate dehydrogenase-O%2C Fe-S subunit,-281.56208919515336,332.0,631.0,963.0
b4393,trpR,-2.5611,DOWN,65.68639531013663,252.88190771661968,GO:0044260//GO:0032774//GO:0044237//GO:0046483//GO:0010556//GO:0050789//GO:0031326//GO:0006725//GO:0006355//GO:0043170//GO:0006139//GO:0097659//GO:0006351//GO:0019222//GO:0006807//GO:1901576//GO:0008150//GO:0051171//GO:0050794//GO:2000112//GO:0018130//GO:1903506//GO:0016070//GO:0060255//GO:0010467//GO:1901360//GO:1901362//GO:0065007//GO:0044238//GO:0071704//GO:0031323//GO:0009058//GO:0080090//GO:0034641//GO:0019438//GO:0009889//GO:0044249//GO:0008152//GO:0044271//GO:0051252//GO:0090304//GO:2001141//GO:0034654//GO:0034645//GO:0010468//GO:0009987//GO:0019219//GO:0009059,"cellular macromolecule metabolic process//RNA biosynthetic process//cellular metabolic process//heterocycle metabolic process//regulation of macromolecule biosynthetic process//regulation of biological process//regulation of cellular biosynthetic process//cellular aromatic compound metabolic process//regulation of transcription, DNA-templated//macromolecule metabolic process//nucleobase-containing compound metabolic process//nucleic acid-templated transcription//transcription, DNA-templated//regulation of metabolic process//nitrogen compound metabolic process//organic substance biosynthetic process//biological_process//regulation of nitrogen compound metabolic process//regulation of cellular process//regulation of cellular macromolecule biosynthetic process//heterocycle biosynthetic process//regulation of nucleic acid-templated transcription//RNA metabolic process//regulation of macromolecule metabolic process//gene expression//organic cyclic compound metabolic process//organic cyclic compound biosynthetic process//biological regulation//primary metabolic process//organic substance metabolic process//regulation of cellular metabolic process//biosynthetic process//regulation of primary metabolic process//cellular nitrogen compound metabolic process//aromatic compound biosynthetic process//regulation of biosynthetic process//cellular biosynthetic process//metabolic process//cellular nitrogen compound biosynthetic process//regulation of RNA metabolic process//nucleic acid metabolic process//regulation of RNA biosynthetic process//nucleobase-containing compound biosynthetic process//cellular macromolecule biosynthetic process//regulation of gene expression//cellular process//regulation of nucleobase-containing compound metabolic process//macromolecule biosynthetic process",GO:0005575//GO:0044464//GO:0005623//GO:0005622,cellular_component//cell part//cell//intracellular,GO:0003700//GO:0001071//GO:0003674,"transcription factor activity, sequence-specific DNA binding//nucleic acid binding transcription factor activity//molecular_function","K03720 TrpR family transcriptional regulator, trp operon repressor | (RefSeq) trpR; transcriptional repressor, tryptophan-binding",http://www.genome.jp/dbget-bin/www_bget?eco:b4393,transcriptional repressor%2C tryptophan-binding,-187.19551240648303,591.0,375.0,966.0
b0767,pgl,-2.3222,DOWN,88.21797367395374,289.452414187011,--,--,--,--,--,--,K07404 6-phosphogluconolactonase [EC:3.1.1.31] | (RefSeq) pgl; 6-phosphogluconolactonase,http://www.genome.jp/dbget-bin/www_bget?eco:b0767,6-phosphogluconolactonase,-201.23444051305728,529.0,439.0,968.0
b0658,ybeX,-1.6905,DOWN,291.90424346608705,619.322502011902,--,--,--,--,--,--,K06189 magnesium and cobalt transporter | (RefSeq) ybeX; putative ion transport,http://www.genome.jp/dbget-bin/www_bget?eco:b0658,putative ion transport,-327.4182585458149,269.0,700.0,969.0
b2009,sbmC,-1.7282,DOWN,265.385745539709,583.1805125127363,--,--,--,--,GO:0030234//GO:0015066//GO:0004857//GO:0098772//GO:0003674,enzyme regulator activity//alpha-amylase inhibitor activity//enzyme inhibitor activity//molecular function regulator//molecular_function,K07470 DNA gyrase inhibitor | (RefSeq) sbmC; DNA gyrase inhibitor,http://www.genome.jp/dbget-bin/www_bget?eco:b2009,DNA gyrase inhibitor,-317.7947669730273,282.0,687.0,969.0
b1100,ycfH,-2.5084,DOWN,67.83683424530153,254.87038964180934,--,--,--,--,GO:0003824//GO:0003674//GO:0016888//GO:0004520//GO:0016788//GO:0016893//GO:0004519//GO:0004536//GO:0004518//GO:0016787,"catalytic activity//molecular_function//endodeoxyribonuclease activity, producing 5'-phosphomonoesters//endodeoxyribonuclease activity//hydrolase activity, acting on ester bonds//endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters//endonuclease activity//deoxyribonuclease activity//nuclease activity//hydrolase activity",K03424 TatD DNase family protein [EC:3.1.21.-] | (RefSeq) ycfH; putative DNase,http://www.genome.jp/dbget-bin/www_bget?eco:b1100,putative DNase,-187.0335553965078,586.0,387.0,973.0
b1426,ydcH,-1.4023,DOWN,913.4997184897429,1615.87467834508,--,--,--,--,--,--,K09794 uncharacterized protein | (RefSeq) ydcH; DUF465 family protein,http://www.genome.jp/dbget-bin/www_bget?eco:b1426,DUF465 family protein,-702.374959855337,103.0,870.0,973.0
b2620,smpB,-1.9007,DOWN,169.86768222562432,415.82295405009336,--,--,--,--,GO:0003723//GO:0097159//GO:0005488//GO:1901363//GO:0003676//GO:0003674,RNA binding//organic cyclic compound binding//binding//heterocyclic compound binding//nucleic acid binding//molecular_function,K03664 SsrA-binding protein | (RefSeq) smpB; tmRNA-binding trans-translation protein,http://www.genome.jp/dbget-bin/www_bget?eco:b2620,tmRNA-binding trans-translation protein,-245.95527182446904,370.0,603.0,973.0
b3205,yhbJ,-2.7948,DOWN,48.575903035689635,222.44431875652734,--,--,--,--,GO:0036094//GO:0017076//GO:1901363//GO:0000166//GO:0016772//GO:0032553//GO:0030554//GO:0003677//GO:0003676//GO:0016740//GO:0003674//GO:0003824//GO:0005524//GO:0016301//GO:0097159//GO:0005488//GO:0001882//GO:0043167//GO:0035639//GO:0097367//GO:0043168//GO:0032550//GO:0032559//GO:0032555//GO:0032549//GO:1901265//GO:0001883,"small molecule binding//purine nucleotide binding//heterocyclic compound binding//nucleotide binding//transferase activity, transferring phosphorus-containing groups//ribonucleotide binding//adenyl nucleotide binding//DNA binding//nucleic acid binding//transferase activity//molecular_function//catalytic activity//ATP binding//kinase activity//organic cyclic compound binding//binding//nucleoside binding//ion binding//purine ribonucleoside triphosphate binding//carbohydrate derivative binding//anion binding//purine ribonucleoside binding//adenyl ribonucleotide binding//purine ribonucleotide binding//ribonucleoside binding//nucleoside phosphate binding//purine nucleoside binding","K06958 RNase adapter protein RapZ | (RefSeq) yhbJ; adaptor protein for GlmZ/GlmY sRNA decay, glucosamine-6-phosphate-regulated; NTPase",http://www.genome.jp/dbget-bin/www_bget?eco:b3205,adaptor protein for GlmZ/GlmY sRNA decay%2C glucosamine-6-phosphate-regulated%3B NTPase,-173.8684157208377,669.0,309.0,978.0
b1226,narJ,-3.2864,DOWN,27.936100466814803,183.79331366433988,--,--,--,--,--,--,K00373 nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW | (RefSeq) narJ; molybdenum-cofactor-assembly chaperone delta subunit of nitrate reductase 1,http://www.genome.jp/dbget-bin/www_bget?eco:b1226,molybdenum-cofactor-assembly chaperone delta subunit of nitrate reductase 1,-155.85721319752508,759.0,219.0,978.0
